player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
JaKarr Sampson,2015-16,19.5,36.72,Role Player,Limited Scaling,Role Player,-0.011,0,1,Mixed,False,"Low CII 19.5, low TII 36.7","{'self_created': np.float64(10.84), 'pressure_appetite': np.float64(30.0), 'difficulty_embrace': np.float64(6.19), 'defensive_survival': np.float64(42.35), 'force_multiplication': np.float64(11.59)}","{'scaling_efficiency': np.float64(7.45965586903518), 'pressure_appetite': np.float64(57.133333333333326), 'creation_tools': np.float64(20.001933973885194), 'opportunity_response': np.float64(44.628571428571426), 'age_trajectory': np.float64(95.0)}",Medium
Jabari Parker,2015-16,22.2,41.65,Role Player,Limited Scaling,Role Player,-0.0779999999999999,0,1,Hides,True,"Low CII 22.2, low TII 41.6","{'self_created': np.float64(13.37), 'pressure_appetite': np.float64(14.67), 'difficulty_embrace': np.float64(28.59), 'defensive_survival': np.float64(40.21), 'force_multiplication': np.float64(27.67)}","{'scaling_efficiency': np.float64(28.611428789847878), 'pressure_appetite': np.float64(8.80000000000004), 'creation_tools': np.float64(60.716370668561055), 'opportunity_response': np.float64(58.17142857142857), 'age_trajectory': np.int64(100)}",Medium
Jae Crowder,2015-16,22.58,53.72,Role Player,Moderate Scaling,Role Player,-0.0259999999999999,0,1,Hides,True,"Low CII 22.6, low TII 53.7","{'self_created': np.float64(7.68), 'pressure_appetite': np.float64(25.55), 'difficulty_embrace': np.float64(23.5), 'defensive_survival': np.float64(53.41), 'force_multiplication': np.float64(11.77)}","{'scaling_efficiency': np.float64(30.659082196414456), 'pressure_appetite': np.float64(54.747697974217346), 'creation_tools': np.float64(56.128201500247044), 'opportunity_response': np.float64(74.08571428571429), 'age_trajectory': np.float64(85.0)}",Medium
Jahlil Okafor,2015-16,31.34,46.27,Role Player,Limited Scaling,Role Player,-0.085,0,1,Hides,True,"Low CII 31.3, low TII 46.3","{'self_created': np.float64(34.76), 'pressure_appetite': np.float64(24.5), 'difficulty_embrace': np.float64(25.8), 'defensive_survival': np.float64(29.28), 'force_multiplication': np.float64(52.36)}","{'scaling_efficiency': np.float64(48.801018799272285), 'pressure_appetite': np.float64(6.000000000000001), 'creation_tools': np.float64(58.10043041606886), 'opportunity_response': np.float64(56.71428571428571), 'age_trajectory': np.int64(100)}",Medium
Jamal Crawford,2015-16,43.98,42.3,Fragile Star,Limited Scaling,Role Player,-0.0489999999999999,0,1,Hides,True,"Low CII 44.0, low TII 42.3","{'self_created': np.float64(48.28), 'pressure_appetite': np.float64(27.7), 'difficulty_embrace': np.float64(54.54), 'defensive_survival': np.float64(56.55), 'force_multiplication': np.float64(31.79)}","{'scaling_efficiency': np.float64(39.46210208950862), 'pressure_appetite': np.float64(20.400000000000045), 'creation_tools': np.float64(76.25), 'opportunity_response': np.float64(54.05714285714286), 'age_trajectory': np.int64(20)}",Medium
Jameer Nelson,2015-16,42.31,60.38,Fragile Star,Moderate Scaling,Role Player,0.04,1,0,Steps Up,True,"Low CII 42.3, moderate TII 60.4 (Age 34 > 25, reclassified from Developing Prospect)","{'self_created': np.float64(32.24), 'pressure_appetite': np.float64(56.89), 'difficulty_embrace': np.float64(48.46), 'defensive_survival': np.float64(42.08), 'force_multiplication': np.float64(24.16)}","{'scaling_efficiency': np.float64(49.13333333333333), 'pressure_appetite': np.float64(70.9079754601227), 'creation_tools': np.float64(86.7), 'opportunity_response': np.float64(53.8), 'age_trajectory': np.float64(25.0)}",Medium
James Harden,2015-16,81.57,78.49,Franchise Engine,High Scaling,Franchise Engine,0.077,1,0,Steps Up,True,CII 81.6 >= 74: Already elite creator,"{'self_created': np.float64(90.82), 'pressure_appetite': np.float64(88.82), 'difficulty_embrace': np.float64(68.74), 'defensive_survival': np.float64(71.93), 'force_multiplication': np.float64(75.85)}","{'scaling_efficiency': np.float64(74.47641495225503), 'pressure_appetite': np.float64(75.52758620689656), 'creation_tools': np.float64(82.65), 'opportunity_response': np.float64(86.0), 'age_trajectory': np.float64(78.33)}",Medium
Jared Dudley,2015-16,17.99,46.57,Role Player,Limited Scaling,Role Player,-0.002,0,1,Mixed,True,"Low CII 18.0, low TII 46.6","{'self_created': np.float64(1.13), 'pressure_appetite': np.float64(28.22), 'difficulty_embrace': np.float64(27.5), 'defensive_survival': np.float64(30.46), 'force_multiplication': np.float64(5.23)}","{'scaling_efficiency': np.float64(24.944745547341952), 'pressure_appetite': np.float64(53.0498687664042), 'creation_tools': np.float64(45.7547532168235), 'opportunity_response': np.float64(78.92), 'age_trajectory': np.float64(48.34)}",Medium
Jared Sullinger,2015-16,22.55,33.88,Role Player,Low Scaling,Role Player,-0.0459999999999999,0,1,Hides,True,"Low CII 22.6, low TII 33.9","{'self_created': np.float64(7.99), 'pressure_appetite': np.float64(23.89), 'difficulty_embrace': np.float64(31.59), 'defensive_survival': np.float64(33.22), 'force_multiplication': np.float64(28.82)}","{'scaling_efficiency': np.float64(9.212314335060446), 'pressure_appetite': np.float64(21.600000000000037), 'creation_tools': np.float64(45.18119542306534), 'opportunity_response': np.float64(51.22857142857143), 'age_trajectory': np.float64(90.0)}",Medium
Jarrett Jack,2015-16,49.45,61.04,Fragile Star,Moderate Scaling,Strong Creator,0.013,1,0,Steps Up,True,"CII 49.5, TII 61.0","{'self_created': np.float64(48.72), 'pressure_appetite': np.float64(49.07), 'difficulty_embrace': np.float64(61.01), 'defensive_survival': np.float64(49.37), 'force_multiplication': np.float64(29.61)}","{'scaling_efficiency': np.float64(50.09762885013804), 'pressure_appetite': np.float64(60.33205741626794), 'creation_tools': np.float64(93.25), 'opportunity_response': np.float64(58.51428571428571), 'age_trajectory': np.float64(35.0)}",Medium
