player_name,draft_year,usg_y1,nc_score,new_skills,skill_details
Malik Monk,2017-18,0.241,2.5,2,"Zone_Mid_Range(1.0), Zone_Floater(1.5)"
Jonathan Isaac,2017-18,0.149,3.5,2,"Zone_Corner_3(1.0), Method_PullUp2(2.5)"
Lauri Markkanen,2017-18,0.215,0.0,0,
Donovan Mitchell,2017-18,0.283,7.7,4,"Zone_Mid_Range(1.0), Method_PullUp3(3.0), Method_PullUp2(2.5), Zone_Above_Break_3(1.2)"
Luke Kennard,2017-18,0.169,4.5,2,"Method_PullUp3(3.0), Zone_Floater(1.5)"
Zach Collins,2017-18,0.153,0.0,0,
John Collins,2017-18,0.174,4.2,3,"Method_CatchShoot3(1.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
OG Anunoby,2017-18,0.121,1.2,1,Zone_Above_Break_3(1.2)
Jarrett Allen,2017-18,0.162,0.0,0,
Bam Adebayo,2017-18,0.157,1.5,1,Zone_Floater(1.5)
Isaiah Hartenstein,2018-19,0.112,2.0,2,"Zone_Rim(0.5), Zone_Floater(1.5)"
Tony Bradley,2017-18,0.158,0.5,1,Zone_Rim(0.5)
Kyle Kuzma,2017-18,0.219,0.0,0,
Derrick White,2017-18,0.146,11.2,7,"Zone_Corner_3(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0), Method_PullUp2(2.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Josh Hart,2017-18,0.133,0.0,0,
Dillon Brooks,2017-18,0.184,4.0,2,"Zone_Mid_Range(1.0), Method_PullUp3(3.0)"
Thomas Bryant,2017-18,0.161,5.7,5,"Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2), Zone_Floater(1.5)"
Monté Morris,2017-18,0.136,10.7,7,"Zone_Corner_3(1.0), Zone_Mid_Range(1.0), Method_CatchShoot3(1.5), Method_PullUp3(3.0), Method_PullUp2(2.5), Zone_Rim(0.5), Zone_Above_Break_3(1.2)"
Vlatko Čančar,2019-20,0.177,0.0,0,
