player,season,star_potential,king_probability,bulldozer_probability,sniper_probability,victim_probability,predicted_archetype,actual_archetype,AGE,current_usage,is_star_predicted,is_star_actual,rank
Moritz Wagner,2018-19,0.4175237491726875,0.0742687657475471,0.3432549834251404,0.0108842784538865,0.5715919733047485,Victim (Fragile Role),,22.0,0.21,False,,602
Troy Brown Jr.,2018-19,0.41748590767383575,0.1400036662817001,0.2774822413921356,0.0228806380182504,0.5596334934234619,Victim (Fragile Role),,19.0,0.158,False,,603
Jordan Goodwin,2022-23,0.41732839494943613,0.0817355886101722,0.3355928063392639,0.0253085885196924,0.5573630332946777,Victim (Fragile Role),,24.0,0.165,False,,604
Collin Sexton,2019-20,0.4171417132019996,0.041148342192173,0.3759933710098266,0.0127574326470494,0.5701009035110474,Victim (Fragile Role),,21.0,0.264,False,,605
Matas Buzelis,2024-25,0.41700100898742676,0.0681413114070892,0.3488596975803375,0.0240950882434844,0.5589039325714111,Victim (Fragile Role),,20.0,0.181,False,,606
MarJon Beauchamp,2024-25,0.4167117998003959,0.0774754211306572,0.3392363786697387,0.0105109997093677,0.572777271270752,Victim (Fragile Role),,24.0,0.222,False,,607
Bryce McGowens,2023-24,0.4163841158151626,0.0745618492364883,0.3418222665786743,0.0097682559862732,0.5738476514816284,Victim (Fragile Role),,21.0,0.147,False,,608
Malik Beasley,2016-17,0.4163841158151626,0.0745618492364883,0.3418222665786743,0.0097682559862732,0.5738476514816284,Victim (Fragile Role),,20.0,0.216,False,,609
Aaron Nesmith,2023-24,0.4162881560623646,0.0308600552380085,0.3854281008243561,0.0070388941094279,0.5766729116439819,Victim (Fragile Role),Victim (Fragile Role),24.0,0.158,False,False,610
Onyeka Okongwu,2021-22,0.4161431677639484,0.0397286899387836,0.3764144778251648,0.0117935510352253,0.5720632672309875,Victim (Fragile Role),,21.0,0.137,False,,611
Oshae Brissett,2021-22,0.4155488610267638,0.0522662103176116,0.3632826507091522,0.011264475993812,0.5731866359710693,Victim (Fragile Role),,24.0,0.166,False,,612
Jalen Williams,2022-23,0.4153396021574735,0.0279741417616605,0.387365460395813,0.0079536326229572,0.5767067670822144,Victim (Fragile Role),,22.0,0.18,False,,613
Julian Champagnie,2024-25,0.4152339249849319,0.0664508193731308,0.3487831056118011,0.0138738797977566,0.5708921551704407,Victim (Fragile Role),,24.0,0.164,False,,614
Rodney Hood,2016-17,0.4151477590203285,0.0486449673771858,0.3665027916431427,0.0091360667720437,0.5757161974906921,Victim (Fragile Role),Victim (Fragile Role),24.0,0.227,False,False,615
Ja Morant,2021-22,0.4148367047309875,0.0565394461154937,0.3582972586154938,0.0077242106199264,0.5774391293525696,Victim (Fragile Role),Bulldozer (Fragile Star),22.0,0.33,False,True,616
Thon Maker,2017-18,0.4146823808550834,0.0411127433180809,0.3735696375370025,0.0292992684990167,0.5560183525085449,Victim (Fragile Role),,21.0,0.147,False,,617
Trendon Watford,2023-24,0.4146023467183112,0.0856863632798194,0.3289159834384918,0.0086050387471914,0.5767926573753357,Victim (Fragile Role),,23.0,0.203,False,,618
T.J. Leaf,2019-20,0.4145628809928894,0.0723508298397064,0.342212051153183,0.0106032006442546,0.574833869934082,Victim (Fragile Role),,23.0,0.18,False,,619
Bruno Caboclo,2019-20,0.4145628809928894,0.0723508298397064,0.342212051153183,0.0106032006442546,0.574833869934082,Victim (Fragile Role),,24.0,0.17,False,,620
David Roddy,2022-23,0.41409844160079945,0.0881751477718353,0.3259232938289642,0.0287702586501836,0.557131290435791,Victim (Fragile Role),,22.0,0.163,False,,621
McKinley Wright IV,2022-23,0.4140885770320891,0.1325032413005828,0.2815853357315063,0.0116243558004498,0.5742870569229126,Victim (Fragile Role),,24.0,0.16,False,,622
RayJ Dennis,2024-25,0.4140180349349975,0.0810041427612304,0.3330138921737671,0.0105595421046018,0.575422465801239,Victim (Fragile Role),,24.0,0.212,False,,623
Jazian Gortman,2024-25,0.4140180349349975,0.0810041427612304,0.3330138921737671,0.0105595421046018,0.575422465801239,Victim (Fragile Role),,22.0,0.195,False,,624
Anfernee Simons,2018-19,0.4140180349349975,0.0810041427612304,0.3330138921737671,0.0105595421046018,0.575422465801239,Victim (Fragile Role),,20.0,0.24,False,,625
