player,season,usage_level,current_usage,predicted_archetype,actual_archetype,king_probability,is_king_predicted,is_king_actual,is_false_positive,is_false_negative,is_true_positive,is_true_negative
Khris Middleton,2017-18,0.25,0.239,Victim (Fragile Role),King (Resilient Star),0.029688609763979912,False,True,False,True,False,False
Khris Middleton,2017-18,0.3,0.239,Victim (Fragile Role),King (Resilient Star),0.060242801904678345,False,True,False,True,False,False
Khris Middleton,2017-18,0.35,0.239,Victim (Fragile Role),King (Resilient Star),0.07697870582342148,False,True,False,True,False,False
Terry Rozier,2017-18,0.15,0.199,Victim (Fragile Role),Sniper (Resilient Role),0.0011614571558311582,False,False,False,False,False,True
Terry Rozier,2017-18,0.2,0.199,Victim (Fragile Role),Sniper (Resilient Role),0.003065124386921525,False,False,False,False,False,True
Terry Rozier,2017-18,0.25,0.199,Victim (Fragile Role),Sniper (Resilient Role),0.019670097157359123,False,False,False,False,False,True
Terry Rozier,2017-18,0.3,0.199,Victim (Fragile Role),Sniper (Resilient Role),0.045143213123083115,False,False,False,False,False,True
Terry Rozier,2017-18,0.35,0.199,Victim (Fragile Role),Sniper (Resilient Role),0.0683041512966156,False,False,False,False,False,True
Andre Roberson,2015-16,0.15,0.092,Sniper (Resilient Role),Sniper (Resilient Role),0.0016086968826130033,False,False,False,False,False,True
Andre Roberson,2015-16,0.2,0.092,Victim (Fragile Role),Sniper (Resilient Role),0.004180419258773327,False,False,False,False,False,True
Andre Roberson,2015-16,0.25,0.092,Victim (Fragile Role),Sniper (Resilient Role),0.017105940729379654,False,False,False,False,False,True
Andre Roberson,2015-16,0.3,0.092,Victim (Fragile Role),Sniper (Resilient Role),0.051903001964092255,False,False,False,False,False,True
Andre Roberson,2015-16,0.35,0.092,Victim (Fragile Role),Sniper (Resilient Role),0.06670237332582474,False,False,False,False,False,True
Serge Ibaka,2017-18,0.15,0.189,Victim (Fragile Role),Victim (Fragile Role),0.0007406257791444659,False,False,False,False,False,True
Serge Ibaka,2017-18,0.2,0.189,Victim (Fragile Role),Victim (Fragile Role),0.002462171483784914,False,False,False,False,False,True
Serge Ibaka,2017-18,0.25,0.189,Victim (Fragile Role),Victim (Fragile Role),0.009226949885487556,False,False,False,False,False,True
Serge Ibaka,2017-18,0.3,0.189,Victim (Fragile Role),Victim (Fragile Role),0.017339762300252914,False,False,False,False,False,True
Serge Ibaka,2017-18,0.35,0.189,Victim (Fragile Role),Victim (Fragile Role),0.024248462170362473,False,False,False,False,False,True
Bam Adebayo,2021-22,0.15,0.248,Victim (Fragile Role),Victim (Fragile Role),0.0007744492613710463,False,False,False,False,False,True
Bam Adebayo,2021-22,0.2,0.248,Victim (Fragile Role),Victim (Fragile Role),0.002023129491135478,False,False,False,False,False,True
Bam Adebayo,2021-22,0.25,0.248,Victim (Fragile Role),Victim (Fragile Role),0.004672172944992781,False,False,False,False,False,True
Bam Adebayo,2021-22,0.3,0.248,Victim (Fragile Role),Victim (Fragile Role),0.015597923658788204,False,False,False,False,False,True
Bam Adebayo,2021-22,0.35,0.248,Victim (Fragile Role),Victim (Fragile Role),0.02129282057285309,False,False,False,False,False,True
Nikola Jokić,2022-23,0.15,0.263,Victim (Fragile Role),Bulldozer (Fragile Star),0.0048249103128910065,False,False,False,False,False,True
Nikola Jokić,2022-23,0.2,0.263,Victim (Fragile Role),Bulldozer (Fragile Star),0.02162945829331875,False,False,False,False,False,True
Nikola Jokić,2022-23,0.25,0.263,Victim (Fragile Role),Bulldozer (Fragile Star),0.08697482943534851,False,False,False,False,False,True
Nikola Jokić,2022-23,0.3,0.263,Bulldozer (Fragile Star),Bulldozer (Fragile Star),0.0843011811375618,False,False,False,False,False,True
Nikola Jokić,2022-23,0.35,0.263,Victim (Fragile Role),Bulldozer (Fragile Star),0.09397229552268982,False,False,False,False,False,True
Enes Freedom,2018-19,0.15,0.219,Victim (Fragile Role),Victim (Fragile Role),0.0006946022040210664,False,False,False,False,False,True
Enes Freedom,2018-19,0.2,0.219,Victim (Fragile Role),Victim (Fragile Role),0.0020167434122413397,False,False,False,False,False,True
Enes Freedom,2018-19,0.25,0.219,Victim (Fragile Role),Victim (Fragile Role),0.006375536322593689,False,False,False,False,False,True
