PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Kyrie Irving,2018-19,0.286,0.37874959288971166,0.33465608465608465,0.1517278617710583,0.23287037037037037,Moderate
Kevin Durant,2018-19,0.283,0.38705859236528606,0.3974763406940063,0.0879682179341657,0.21088328075709778,Moderate
LeBron James,2018-19,0.311,0.37393737268765104,0.3039027511196417,0.1808136614766449,0.2436340371081254,Moderate
Devin Booker,2018-19,0.32,0.3464972911130869,0.2968853545394301,0.1121876593574706,0.24609012591119944,Low
Giannis Antetokounmpo,2018-19,0.314,0.41913839800626135,0.39642857142857146,0.1810841983852364,0.21124999999999997,Moderate
Blake Griffin,2018-19,0.296,0.390157053373829,0.3389700230591852,0.1783119060927892,0.23136049192928515,Moderate
Kawhi Leonard,2018-19,0.3,0.35350443271557974,0.29447439353099736,0.1355661881977671,0.2469339622641509,Low
Jordan Clarkson,2018-19,0.266,0.402073652990608,0.37815126050420167,0.1577854671280276,0.21764705882352942,Moderate
Russell Westbrook,2018-19,0.301,0.33581293306405713,0.23181549379065636,0.1722939424031777,0.2688645771732703,Low
D'Angelo Russell,2018-19,0.311,0.3410963881972064,0.24790727623953634,0.1649759743726641,0.26323245331616224,Low
Donovan Mitchell,2018-19,0.309,0.3362563195536237,0.23737373737373735,0.1658189216683621,0.2669191919191919,Low
Damian Lillard,2018-19,0.281,0.34115773324178184,0.23266078184110972,0.1863874345549738,0.2685687263556116,Low
Victor Oladipo,2018-19,0.278,0.3753727287428536,0.2903481012658228,0.2037943696450428,0.24837816455696202,Moderate
John Wall,2018-19,0.286,0.3607667550339902,0.23116548615582744,0.2444959443800695,0.26909207984546035,Moderate
Mike Conley,2018-19,0.262,0.37808468251231414,0.2780968006562756,0.2286071205496565,0.2526661197703035,Moderate
Kemba Walker,2018-19,0.308,0.3154749287152129,0.19582850521436856,0.1643100926377377,0.281460023174971,Low
Zach LaVine,2018-19,0.298,0.3288707865168539,0.24794007490636705,0.13,0.26322097378277154,Low
Isaiah Thomas,2018-19,0.274,0.42173994848809204,0.43581081081081086,0.1336633663366336,0.19746621621621618,Moderate
Dwyane Wade,2018-19,0.269,0.31573996911176966,0.25985844287158744,0.0758827948910593,0.25904954499494437,Low
Luka Dončić,2018-19,0.296,0.3219510767625199,0.19689922480620148,0.181322013341419,0.28108527131782945,Low
